Convalesce  v. (-cing) recover health after illness. [latin valeo be well]
Inadvisable  adj. Not advisable.  inadvisability n.
Full moon  n. 1 moon with its whole disc illuminated. 2 time of this.
Bond  -n. 1 thing or force that unites or (usu. In pl.) Restrains. 2 binding agreement. 3 commerce certificate issued by a government or a company promising to repay borrowed money at a fixed rate of interest. 4 adhesiveness. 5 law deed binding a person to make payment to another. 6 chem. Linkage between atoms in a molecule. -v. 1 hold or tie together. 2 connect or reinforce with a bond. 3 place (goods) in bond.
Archaeopteryx  n. Fossil bird with teeth, feathers, and a reptilian tail. [greek arkhaios ancient, pterux wing]
Figurative  adj. 1 metaphorical, not literal. 2 characterized by figures of speech. 3 of pictorial or sculptural representation.  figuratively adv. [latin: related to *figure]
Cookbook  n. Us cookery book.
Impolite  adj. (impolitest) ill-mannered, uncivil, rude.  impolitely adv. Impoliteness n.
Seven seas  n. (prec. By the) the oceans of the world.
Acceptable  adj. 1 worth accepting, welcome. 2 tolerable.  acceptability n. Acceptably adv. [french: related to *accept]
Bank1  -n. 1 sloping ground beside a river. 2 raised area, esp. In the sea; slope. 3 mass of cloud, fog, snow, etc. -v. 1 (often foll. By up) heap or rise into banks. 2 pack (a fire) tightly for slow burning. 3 a (of a vehicle, aircraft, etc.) Round a curve with one side higher than the other. B cause to do this. [old norse: related to *bench]
Anglo-saxon  -adj. 1 of the english saxons before the norman conquest. 2 of english descent. -n. 1 anglo-saxon person. 2 old english. 3 colloq. Plain (esp. Crude) english.
Fake  -n. False or counterfeit thing or person. -adj. Counterfeit; not genuine. -v. (-king) 1 make a fake or imitation of (faked my signature). 2 feign (a feeling, illness, etc.). [german fegen sweep]
Basset  n. (in full basset-hound) sturdy hunting-dog with a long body and short legs. [french diminutive of bas low]
Inattentive  adj. 1 not paying attention. 2 neglecting to show courtesy.  inattention n. Inattentively adv.
Herbivore  n. Animal that feeds on plants.  herbivorous adj. [latin voro devour]
Diddle  v. (-ling) colloq. Swindle. [probably from diddler, name of a character in a 19th-c. Play]
Parvenu  n. (pl. -s; fem. Parvenue) (often attrib.) Newly rich social climber; upstart. [latin: related to *per-, venio come]
Canalize  v. (also -ise) (-zing or -sing) 1 provide with or convert into a canal or canals. 2 channel.  canalization n. [french: related to *canal]
Kink  -n. 1 a twist or bend in wire etc. B tight wave in hair. 2 mental twist or quirk, esp. When perverse. -v. (cause to) form a kink. [low german or dutch]
Reunite  v. (-ting) (cause to) come together again.
South-western  adj. On the south-west side.
Defective  adj. Having defect(s); imperfect.  defectiveness n. [latin: related to *defect]
Laughing stock  n. Person or thing open to general ridicule.
Floral  adj. Of, decorated with, or depicting flowers.  florally adv. [latin]
Emulsion  n. 1 fine dispersion of one liquid in another, esp. As paint, medicine, etc. 2 mixture of a silver compound in gelatin etc. For coating photographic plate or film. 3 emulsion paint. [latin mulgeo milk]
Help  -v. 1 provide with the means towards what is needed or sought (helped me with my work; helped me (to) pay my debts; helped him on with his coat). 2 (often absol.) Be of use or service to (does that help?). 3 contribute to alleviating (a pain or difficulty). 4 prevent or remedy (it can't be helped). 5 (usu. With neg.) A refrain from (can't help it; could not help laughing). B refl. Refrain from acting (couldn't help himself). 6 (often foll. By to) serve (a person with food). -n. 1 helping or being helped (need your help; came to our help). 2 person or thing that helps. 3 colloq. Domestic assistant or assistance. 4 remedy or escape (there is no help for it).  help oneself (often foll. By to) 1 serve oneself (with food etc.). 2 take without permission. Help a person out give a person help, esp. In difficulty.  helper n. [old english]
Copula  n. (pl. -s) connecting word, esp. Part of the verb be connecting subject and predicate. [latin]
Cambric  n. Fine linen or cotton fabric. [cambrai in france]
Blue  -adj. (bluer, bluest) 1 having the colour of a clear sky. 2 sad, depressed. 3 pornographic (a blue film). 4 politically conservative. -n. 1 blue colour or pigment. 2 blue clothes or material (dressed in blue). 3 person who represents a university in a sport, esp. Oxford or cambridge. 4 conservative party supporter. -v. (blues, blued, bluing or blueing) 1 make blue. 2 slang squander.  once in a blue moon very rarely. Out of the blue unexpectedly. [french from germanic]
Invalid1  -n. Person enfeebled or disabled by illness or injury. -attrib. Adj. 1 of or for invalids. 2 sick, disabled. -v. (-d-) 1 (often foll. By out etc.) Remove (an invalid) from active service. 2 (usu. In passive) disable (a person) by illness.  invalidism n. Invalidityn. [latin: related to *in-1]
Lea  n. Poet. Meadow, field. [old english]
Hair  n. 1 a any of the fine threadlike strands growing from the skin of mammals, esp. From the human head. B these collectively (has long hair). 2 thing resembling a hair. 3 elongated cell growing from a plant. 4 very small quantity or extent (also attrib.: hair crack).  get in a person's hair colloq. Annoy a person. Keep one's hair on colloq. Keep calm; not get angry. Let one's hair down colloq. Enjoy oneself by abandoning restraint. Make one's hair stand on end colloq. Horrify one. Not turn a hair remain unmoved or unaffected.  hairless adj. [old english]
Dizzy  -adj. (-ier, -iest) 1 a giddy. B feeling confused. 2 causing giddiness. -v. (-ies, -ied) 1 make dizzy. 2 bewilder.  dizzily adv. Dizziness n. [old english]
Object-lesson  n. Striking practical example of some principle.
Bleeding  adj. & adv. Coarse slang expressing annoyance or antipathy.
Pamphlet  -n. Small usu. Unbound booklet or leaflet. -v. (-t-) distribute pamphlets to. [pamphilus, name of medieval poem]
Reported speech  n. Speaker's words with the person, tense, etc. Adapted, e.g. He said that he would go.
Reeve3  n. Female ruff. [origin unknown]
Black mark  n. Mark of discredit.
Pull-out  n. Removable section of a magazine etc.
Embroider  v. 1 decorate (cloth etc.) With needlework. 2 embellish (a narrative).  embroiderer n. [anglo-french from germanic]
Marginal cost  n. Cost added by making one extra copy etc.
Pedlar  n. (us peddler) 1 travelling seller of small items. 2 (usu. Foll. By of) retailer (of gossip etc.). [alteration of pedder from ped pannier]
Premolar  n. (in full premolar tooth) tooth between the canines and molars.
Footage  n. 1 a length of tv or cinema film etc. 2 length in feet.
Coroner  n. Official holding inquests on deaths thought to be violent or accidental. [anglo-french: related to *crown]
Lay1  -v. (past and past part. Laid) 1 place on a surface, esp. Horizontally or in the proper or specified place. 2 put or bring into the required position or state (lay carpet). 3 make by laying (lay foundations). 4 (often absol.) (of a hen bird) produce (an egg). 5 cause to subside or lie flat. 6 (usu. Foll. By on); attribute or impute (blame etc.). 7 prepare or make ready (a plan or trap). 8 prepare (a table) for a meal. 9 arrange the material for (a fire). 10 put down as a wager; stake. 11 (foll. By with) coat or strew (a surface). 12 slang offens. Have sexual intercourse with (esp. A woman). -n. 1 way, position, or direction in which something lies. 2 slang offens. Partner (esp. Female) in, or act of, sexual intercourse.  lay about one hit out on all sides. Lay aside 1 put to one side. 2 cease to consider. Lay at the door of impute to. Lay bare expose, reveal. Lay claim to claim as one's own. Lay down 1 put on a flat surface. 2 give up (an office). 3 formulate (a rule). 4 store (wine) for maturing. 5 sacrifice (one's life). Lay (one's) hands on obtain, locate. Lay hands on seize or attack. Lay hold of seize. Lay in provide oneself with a stock of. Lay into colloq. Punish or scold harshly. Lay it on thick (or with a trowel) colloq. Flatter or exaggerate grossly. Lay low overthrow or humble. Lay off 1 discharge (unneeded workers) temporarily; make redundant. 2 colloq. Desist. Lay on 1 provide. 2 impose. 3 inflict (blows). 4 spread on (paint etc.). Lay open 1 break the skin of. 2 (foll. By to) expose (to criticism etc.). Lay out 1 spread out, expose to view. 2 prepare (a corpse) for burial. 3 colloq. Knock unconscious. 4 arrange (grounds etc.) According to a design.
Black friar  n. Dominican friar.
Deportee  n. Deported person.
Memo  n. (pl. -s) colloq. Memorandum. [abbreviation]
Cobweb  n. 1 fine network spun by a spider from liquid it secretes. 2 thread of this.  cobwebby adj. [obsolete coppe spider]
Main chance  n. (prec. By the) one's own interests.
Mattress  n. Stuffed, or air- or water-filled cushion the size of a bed. [arabic almatrah]
Destabilize  v. (also -ise) (-zing or -sing) 1 make unstable. 2 subvert (esp. A foreign government).  destabilization n.
Favor  (brit. Favour) -n. 1 kind act (did it as a favour). 2 approval, goodwill; friendly regard (gained their favour). 3 partiality. 4 badge, ribbon, etc., as an emblem of support. -v. 1 regard or treat with favour or partiality. 2 support, promote, prefer. 3 be to the advantage of; facilitate. 4 tend to confirm (an idea etc.). 5 (foll. By with) oblige. 6 (as favoured adj.) Having special advantages.
Chamomile  var. Of *camomile.
Insight  n. (usu. Foll. By into) 1 capacity of understanding hidden truths etc. 2 instance of this.
Confectioner  n. Maker or retailer of confectionery.
Fire-lighter  n. Inflammable material used to start a fire in a grate.
Badger  -n. Nocturnal burrowing mammal with a black and white striped head. -v. Pester, harass. [origin uncertain]
Permafrost  n. Subsoil which remains frozen all year, as in polar regions. [from *permanent, *frost]
Allocate  v. (-ting) (usu. Foll. By to) assign or devote to (a purpose, person, or place).  allocation n. [latin: related to *local]
Collector's item  n. (also collector's piece) thing of interest to collectors.
Haematite  n. (us hem-) a ferric oxide ore. [latin: related to *haemal]
Gravy  n. (pl. -ies) 1 juices exuding from meat during and after cooking. 2 sauce for food, made from these etc. [perhaps from a misreading of french grané from grain spice, *grain]
Furry  adj. (-ier, -iest) like or covered with fur.
Brainpower  n. Mental ability or intelligence.
Ancestral  adj. Belonging to or inherited from one's ancestors.
Instructive  adj. Tending to instruct; enlightening.
Canker  -n. 1 destructive disease of trees and plants. 2 ulcerous ear disease of animals. 3 corrupting influence. -v. 1 infect with canker. 2 corrupt. 3 (as cankered adj.) Soured, malignant.  cankerous adj. [latin: related to *cancer]
Boastful  adj. Given to boasting.  boastfully adv.
Archdeacon  n. Church dignitary next below a bishop.  archdeaconry n. (pl. -ies).
Manna  n. 1 substance miraculously supplied as food to the israelites in the wilderness (exod. 16). 2 unexpected benefit (esp. Manna from heaven). [old english ultimately from hebrew]
Conscientious  adj. Diligent and scrupulous.  conscientiously adv. Conscientiousness n. [medieval latin: related to *conscience]
Blabber  -n. (also blabbermouth) person who blabs. -v. (often foll. By on) talk foolishly or inconsequentially.
Contort  v. Twist or force out of its normal shape.  contortion n. [latin torqueo tort- twist]
Extinction  n. 1 making or becoming extinct. 2 extinguishing or being extinguished. 3 total destruction or annihilation.
Ate  past of *eat.
Consultant  n. 1 person providing professional advice etc. 2 senior medical specialist in a hospital.
Lymph gland  n. (also lymph node) small mass of tissue in the lymphatic system.
Food-chain  n. Series of organisms each dependent on the next for food.
Footrest  n. Stool, rail, etc. For the feet.
King's highway  n. = *queen's highway.
Malcontent  -n. Discontented person. -adj. Discontented. [french: related to *mal-]
Arboreal  adj. Of or living in trees. [latin arbor tree]
Emotion  n. 1 strong instinctive feeling such as love or fear. 2 emotional intensity or sensibility (spoke with emotion). [french: related to *motion]
Down3  n. 1 open rolling land. 2 (in pl.) Chalk uplands, esp. In s. England. [old english]
Dti  abbr. Department of trade and industry.
Firefighter  n. = *fireman 1.
Decentralize  v. (also -ise) (-zing or -sing) 1 transfer (power etc.) From central to local authority. 2 reorganize to give greater local autonomy.  decentralization n.
Indirect speech  n. = *reported speech.
Latish  adj. & adv. Fairly late.
Chipolata  n. Small thin sausage. [french from italian]
Octagon  n. Plane figure with eight sides and angles.  octagonal adj. [greek: related to *octa-, -gonos -angled]
Caber  n. Trimmed tree-trunk tossed as a sport in the scottish highlands. [gaelic]
Bowel  n. 1 (often in pl.) = *intestine. 2 (in pl.) Innermost parts. [latin botulus sausage]
Dutch  -adj. Of the netherlands or its people or language. -n. 1 the dutch language. 2 (prec. By the; treated as pl.) The people of the netherlands.  go dutch share expenses on an outing etc. [dutch]
Epoch  n. 1 period of history etc. Marked by notable events. 2 beginning of an era. 3 geol. Division of a period, corresponding to a set of strata.  epochal adj. [greek, = pause]
Aegis  n. Protection; support. [greek aigis shield of zeus or athene]
Pass2  n. Narrow way through mountains. [var. Of *pace1]
Ancillary  -adj. 1 (esp. Of health workers) providing essential support. 2 (often foll. By to) subordinate, subservient. -n. (pl. -ies) 1 ancillary worker. 2 auxiliary or accessory. [latin ancilla handmaid]
Artificial intelligence  n. Use of computers for tasks normally regarded as needing human intelligence.
Cinch  n. Colloq. 1 sure thing; certainty. 2 easy task. [spanish cincha saddle-girth]
Legatee  n. Recipient of a legacy. [latin lego bequeath]
Preamble  n. 1 preliminary statement. 2 introductory part of a statute or deed etc. [latin: related to *amble]
Health visitor  n. Trained nurse who visits mothers and babies, or the sick or elderly, at home.
Chassis  n. (pl. Same) 1 base-frame of a motor vehicle, carriage, etc. 2 frame to carry radio etc. Components. [latin: related to *case2]
Free kick  n. Kick granted in football as a minor penalty.
Paramedical  adj. (of services etc.) Supplementing and assisting medical work.
Blacklead  n. Graphite.
Hem2  -int. Calling attention or expressing hesitation by a slight cough. -n. Utterance of this. -v. (-mm-) say hem; hesitate in speech.  hem and haw = hum and haw (see *hum). [imitative]
Galosh  n. (also golosh) (usu. In pl.) Overshoe, usu. Of rubber. [french]
Card-sharp  n. (also card-sharper) swindler at card-games.
Rhymester  n. Writer of (esp. Simple) rhymes.
Pantheism  n. 1 belief that god is in all nature. 2 worship that admits or tolerates all gods.  pantheist n. Pantheistic adj. [greek theos god]
Law  n. 1 a rule enacted or customary in a community and recognized as commanding or forbidding certain actions. B body of such rules. 2 controlling influence of laws; respect for laws. 3 laws collectively as a social system or subject of study. 4 binding force (her word is law). 5 (prec. By the) a the legal profession. B colloq. The police. 6 (in pl.) Jurisprudence. 7 a the judicial remedy. B the lawcourts as providing this (go to law). 8 rule of action or procedure. 9 regularity in natural occurrences (laws of nature; law of gravity). 10 divine commandments.  be a law unto oneself do what one considers right; disregard custom. Lay down the law be dogmatic or authoritarian. Take the law into one's own hands redress a grievance by one's own means, esp. By force. [old english from old norse, = thing laid down]
Address  -n. 1 a place where a person lives or an organization is situated. B particulars of this, esp. For postal purposes. C computing location of an item of stored information. 2 discourse to an audience. -v. 1 write postal directions on (an envelope etc.). 2 direct (remarks etc.). 3 speak or write to, esp. Formally. 4 direct one's attention to. 5 golf take aim at (the ball).  address oneself to 1 speak or write to. 2 attend to. [french: related to *ad-, *direct]
Closure  n. 1 closing. 2 closed state. 3 procedure for ending a debate and taking a vote. [latin: related to *close2]
Foxhound  n. A kind of hound bred and trained to hunt foxes.
Corner  -n. 1 place where converging sides or edges meet. 2 projecting angle, esp. Where two streets meet. 3 internal space or recess formed by the meeting of two sides, esp. Of a room. 4 difficult position, esp. One with no escape. 5 secluded place. 6 region or quarter, esp. A remote one. 7 action or result of buying or controlling the whole stock of a commodity. 8 boxing & wrestling corner of the ring where a contestant rests between rounds. 9 football & hockey free kick or hit from the corner of a pitch. -v. 1 force into a difficult or inescapable position. 2 establish a corner in (a commodity). 3 (esp. Of or in a vehicle) go round a corner. [latin: related to *corn2]
Centre forward  n. Sport middle player or position in a forward line.
Decrepit  adj. 1 weakened by age or infirmity. 2 dilapidated.  decrepitude n. [latin crepo creak]
Incidental  -adj. (often foll. By to) 1 small and relatively unimportant, minor; supplementary. 2 not essential. -n. (usu. In pl.) Minor detail, expense, event, etc.
'Em  pron. Colloq. Them.
Herbalist  n. 1 dealer in medicinal herbs. 2 writer on herbs.
Field sports  n.pl. Outdoor sports, esp. Hunting, shooting, and fishing.
Mediocre  adj. 1 indifferent in quality. 2 second-rate. [latin mediocris]
Fleshly  adj. (-lier, -liest) 1 bodily; sensual. 2 mortal. 3 worldly.
Indorse  var. Of *endorse.
Carcinogen  n. Substance producing cancer.  carcinogenic adj. [related to *carcinoma]
Bruiser  n. Colloq. 1 large tough-looking person. 2 professional boxer.
Boot2  n.  to boot as well, in addition. [old english]
Disgrace  -n. 1 shame; ignominy. 2 shameful or very bad person or thing (bus service is a disgrace). -v. (-cing) 1 bring shame or discredit on. 2 dismiss from a position of honour or favour.  in disgrace out of favour. [latin: related to *dis-, *grace]
Coalition  n. 1 temporary alliance, esp. Of political parties. 2 fusion into one whole. [medieval latin: related to *coalesce]
Divide  -v. (-ding) 1 (often foll. By in, into) separate into parts; break up; split. 2 (often foll. By out) distribute; deal; share. 3 a separate (one thing) from another. B classify into parts or groups. 4 cause to disagree. 5 a find how many times (a number) contains or is contained in another (divide 20 by 4; divide 4 into 20). B (of a number) be contained in (a number) without remainder (4 divides into 20). 6 parl. Vote (by members entering either of two lobbies) (the house divided). -n. 1 dividing line. 2 watershed. [latin divido -vis-]
Marmalade  n. Preserve of citrus fruit, usu. Oranges. [portuguese marmelo quince]
Corncrake  n. Rail inhabiting grassland and nesting on the ground.
Driveway  n. = *drive n. 2b.
Incommode  v. (-ding) formal 1 inconvenience. 2 trouble, annoy.
Springer  n. Small spaniel of a breed used to spring game.
Apache  n. Member of a n. American indian tribe. [mexican spanish]
Annular  adj. Ring-shaped. [latin anulus ring]
Hemorrhoids  n.pl. (brit. Haem-) swollen veins in the wall of the anus; piles. [greek haima blood, -rhoos -flowing]
Lam  v. (-mm-) slang thrash; hit. [perhaps scandinavian]
Breezy  adj. (-ier, -iest) 1 slightly windy. 2 colloq. Cheerful, light-hearted, casual.
Muleteer  n. Mule-driver. [french muletier: related to *mule1]
Pollen count  n. Index of the amount of pollen in the air, published as a warning to hay fever sufferers.
Cert.  Abbr. 1 certificate. 2 certified.
Fluff  -n. 1 soft fur, feathers, or fabric particles etc. 2 slang mistake in a performance etc. -v. 1 (often foll. By up) shake into or become a soft mass. 2 colloq. Make a fluff; bungle.  bit of fluff slang offens. Attractive woman.  fluffy adj. (-ier, -iest). Fluffiness n. [probably dial. Alteration of flue fluff]
Mourner  n. Person who mourns, esp. At a funeral.
Chivalrous  adj. 1 gallant, honourable. 2 of or showing chivalry.  chivalrously adv. [latin: related to *chevalier]
Suspended animation  n. Temporary deathlike condition.
Fixings  n.pl. Us 1 apparatus or equipment. 2 trimmings for a dish, dress, etc.
Double entry  n. System of bookkeeping with entries debited in one account and credited in another.
Contractible  adj. That can be shrunk or drawn together.
Fire-storm  n. High wind or storm following a fire caused by bombs.
Egret  n. A kind of heron with long white feathers. [french aigrette]
Cerise  n. Light clear red. [french: related to *cherry]
Harsh  adj. 1 unpleasantly rough or sharp, esp. To the senses. 2 severe, cruel.  harshen v. Harshly adv. Harshness n. [low german]
Doer  n. 1 person who does something. 2 person who acts rather than theorizing.
Fixture  n. 1 a something fixed in position. B colloq. Seemingly immovable person or thing (seems to be a fixture). 2 a sporting event, esp. A match, race, etc. B date agreed for this. 3 (in pl.) Articles attached to a house or land and regarded as legally part of it.
Disk drive  n. Computing mechanism for rotating a disk and reading or writing data from or to it.
Gab  n. Colloq. Talk, chatter. [var. Of *gob1]
Brittle-bone disease  n. = *osteoporosis.
Dissension  n. Angry disagreement. [latin: related to *dissent]
Chalcedony  n. (pl. -ies) type of quartz with many varieties, e.g. Onyx. [latin from greek]
Barney  n. (pl. -s) colloq. Noisy quarrel. [perhaps dial.]
Defence  n. (us defense) 1 defending, protection. 2 means of this. 3 (in pl.) Fortifications. 4 justification, vindication. 5 defendant's case or counsel in a lawsuit. 6 defending play or players.  defenceless adj. Defencelessly adv. Defencelessness n. [related to *defend]
Hookah  n. Oriental tobacco-pipe with a long tube passing through water for cooling the smoke as it is drawn through. [urdu from arabic, = casket]
Detractor  n. Person who criticizes unfairly.  detraction n.
Sixpence  n. 1 sum of six esp. Old pence. 2 hist. Coin worth this.
Bidding  n. 1 command, request, or invitation. 2 bids at an auction or in a card-game.
Capybara  n. Large semi-aquatic s. American rodent. [tupi]
Jugular vein  n. Any of several large veins in the neck carrying blood from the head.
Fever  -n. 1 a abnormally high temperature, often with delirium etc. B disease characterized by this (scarlet fever). 2 nervous excitement; agitation. -v. (esp. As fevered adj.) Affect with fever or excitement. [latin febris]
Arabian  -adj. Of or relating to arabia (esp. In geographical contexts) (arabian desert). -n. Native of arabia.
Palmy  adj. (-ier, -iest) 1 of, like, or abounding in palms. 2 triumphant, flourishing (palmy days).
Alpine  -adj. Of mountainous regions or (alpine) the alps. -n. 1 plant growing in mountainous regions. 2 = *rock-plant. [latin: related to *alp]
Ahoy  int. Naut. Call used in hailing. [from *ah, *hoy]
Guinea-fowl  n. African fowl with slate-coloured white-spotted plumage.
Cellular  adj. Consisting of cells, of open texture; porous.  cellularity n. [french: related to *cell]
Pristine  adj. 1 in its original condition; unspoilt. 2 spotless; fresh as if new. 3 ancient, primitive. [latin pristinus former]
Arthropod  n. Invertebrate with a segmented body and jointed limbs, e.g. An insect, spider, or crustacean. [greek arthron joint, pous pod- foot]
Lingo  n. (pl. -s or -es) colloq. 1 foreign language. 2 vocabulary of a special subject or group. [probably from portuguese lingoa from latin lingua tongue]
Godmother  n. Female godparent.
Apocryphal  adj. Of doubtful authenticity.
Georgette  n. Thin dress-material similar to crêpe. [georgette de la plante, name of a dressmaker]
Strong  -adj. (stronger; strongest) 1 able to resist; not easily damaged, overcome, or disturbed. 2 healthy. 3 capable of exerting great force or of doing much; muscular, powerful. 4 forceful in effect (strong wind). 5 firmly held (strong suspicion). 6 (of an argument etc.) Convincing. 7 intense (strong light). 8 formidable (strong candidate). 9 (of a solution or drink etc.) Not very diluted. 10 of a specified number (200 strong). 11 gram. (of a verb) forming inflections by a change of vowel within the stem (e.g. Swim, swam). -adv. Strongly.  come on strong behave aggressively. Going strong colloq. Continuing vigorously; in good health etc.  strongish adj. Strongly adv. [old english]
